club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url
10,arminia-bielefeld,Arminia Bielefeld,L1,,27,25.3,15,55.6,4,SchücoArena,26515,+€5.90m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/arminia-bielefeld/startseite/verein/10
10004,paris-fc,Paris FC,FR1,,27,27.2,14,51.9,7,Stade Jean Bouin,19904,€-25.00m,Stéphane Gilli,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/paris-fc/startseite/verein/10004
10010,esporte-clube-bahia,Esporte Clube Bahia,BRA1,,32,26.6,9,28.1,3,Arena Fonte Nova,47364,+€8.14m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-bahia/startseite/verein/10010
1003,leicester-city,Leicester City,GB1,,29,25.9,17,58.6,9,King Power Stadium,32259,+€57.30m,Steve Cooper,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/leicester-city/startseite/verein/1003
1005,us-lecce,US Lecce,IT1,,39,23.8,36,92.3,10,Ettore Giardiniero,31559,+€3.35m,Eusebio Di Francesco,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005
10090,deportivo-pasto,Asociación Deportivo Pasto,COL1,,26,28.4,5,19.2,1,Estadio Departamental Libertad,20000,+€1.10m,Gustavo Florentín,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/deportivo-pasto/startseite/verein/10090
10093,independiente-medellin,Independiente Medellín,COL1,,26,28.2,3,11.5,0,Estadio Atanasio Girardot,45943,+€6.21m,Alfredo Arias,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/independiente-medellin/startseite/verein/10093
1010,fc-watford,Watford FC,GB1,,30,26.3,24,80.0,12,Vicarage Road,21577,+€42.02m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/fc-watford/startseite/verein/1010
1011,halmstads-bk,Halmstads BK,SE1,,22,25.2,9,40.9,1,Örjans Vall,10873,+€2.69m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/halmstads-bk/startseite/verein/1011
10217,sarpsborg-08-ff,Sarpsborg 08 Fotballforening,NO1,,25,25.6,9,36.0,2,Sarpsborg Stadion,8022,+€4.80m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sarpsborg-08-ff/startseite/verein/10217
1022,cerezo-osaka,Cerezo Osaka,JAP1,,29,26.1,3,10.3,1,YANMAR Hanasaka Stadium,24481,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/cerezo-osaka/startseite/verein/1022
1023,se-palmeiras-sao-paulo,Sociedade Esportiva Palmeiras,BRA1,,31,25.9,9,29.0,10,Nubank Parque,43713,+€31.54m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/se-palmeiras-sao-paulo/startseite/verein/1023
1025,fc-bologna,Bologna Football Club 1909,IT1,,27,27.4,17,63.0,11,Stadio Renato Dall’Ara,36462,+€27.70m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-bologna/startseite/verein/1025
1029,club-atletico-velez-sarsfield,Club Atlético Vélez Sársfield,ARG1,,26,25.7,4,15.4,1,José Amalfitani,49747,+€29.92m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-velez-sarsfield/startseite/verein/1029
1030,argentinos-juniors,Asociación Atlética Argentinos Juniors,ARG1,,30,26.9,4,13.3,2,Diego Armando Maradona,22063,+€16.53m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/argentinos-juniors/startseite/verein/1030
1031,luton-town,Luton Town,GB1,,30,26.1,16,53.3,7,Kenilworth Road,11850,+€9.00m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/luton-town/startseite/verein/1031
1032,fc-reading,Reading FC,GB1,,30,23.1,14,46.7,5,Select Car Leasing Stadium,24161,+€3.06m,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/fc-reading/startseite/verein/1032
1038,sampdoria-genua,UC Sampdoria,IT1,,33,24.3,5,15.6,4,Luigi Ferraris,36348,+€1.75m,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/sampdoria-genua/startseite/verein/1038
1039,queens-park-rangers,Queens Park Rangers,GB1,,26,25.9,15,57.7,8,Loftus Road Stadium,18360,+€900k,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/queens-park-rangers/startseite/verein/1039
1041,olympique-lyon,Olympique Lyon,FR1,,34,24.7,25,73.5,12,Groupama Stadium,59186,+€14.20m,Paulo Fonseca,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/olympique-lyon/startseite/verein/1041
1044,djurgardens-if,Djurgårdens Idrottsförening,SE1,,25,25.4,10,40.0,2,3Arena,30000,+€13.00m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/djurgardens-if/startseite/verein/1044
1047,como-1907,Como 1907,IT1,,40,25.6,32,80.0,15,Giuseppe Sinigaglia,12039,€-11.70m,Cesc Fàbregas,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/como-1907/startseite/verein/1047
10484,kasimpasa,Kasimpasa,TR1,,37,24.6,15,40.5,5,Recep Tayyip Erdoğan Stadyumu,13797,€-3.70m,Shota Arveladze,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/kasimpasa/startseite/verein/10484
1049,fc-valencia,Valencia CF,ES1,,27,27.7,13,48.1,5,Mestalla,49430,€-4.00m,Carlos Corberán,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-valencia/startseite/verein/1049
10492,esporte-clube-juventude,Esporte Clube Juventude,BRA1,,29,28.3,3,10.3,0,Estádio Alfredo Jaconi,23726,+€1.13m,Roger Machado,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/esporte-clube-juventude/startseite/verein/10492
105,sv-darmstadt-98,SV Darmstadt 98,L1,,27,25.6,13,48.1,1,Merck-Stadion am Böllenfalltor,17810,+€3.05m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sv-darmstadt-98/startseite/verein/105
1050,fc-villarreal,Villarreal CF,ES1,,27,25.3,14,51.9,11,La Cerámica,23500,+€2.50m,Marcelino,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fc-villarreal/startseite/verein/1050
10503,deportes-tolima,Deportes Tolima,COL1,,25,26.8,2,8.0,1,Estadio Manuel Murillo Toro,28100,+€1.29m,David González,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/deportes-tolima/startseite/verein/10503
10511,club-atletico-san-martin-sj-,CA San Martín (San Juan),ARG1,,30,27.4,1,3.3,0,Ingeniero Hilario Sánchez,26500,+-0,Leandro Romagnoli,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/club-atletico-san-martin-sj-/startseite/verein/10511
1053,aalborg-bk,Aalborg BK,DK1,,26,24.6,14,53.8,1,Aalborg Portland Park,13310,+€7.12m,Menno van Dam,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/aalborg-bk/startseite/verein/1053
1057,bryne-fk,Bryne FK,NO1,,23,24.0,8,34.8,0,Bryne Stadion,5500,+€210k,Ole Kevin Knappen,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/bryne-fk/startseite/verein/1057
1059,hammarby-if,Hammarby IF,SE1,,25,24.2,12,48.0,7,3Arena,30000,+€21.10m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/hammarby-if/startseite/verein/1059
1061,los-angeles-galaxy,Los Angeles Galaxy,MLS1,,27,26.4,14,51.9,2,Dignity Health Sports Park,27000,€-1.01m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/los-angeles-galaxy/startseite/verein/1061
1062,shimizu-s-pulse,S-Pulse,JAP1,,37,27.5,9,24.3,4,IAI Stadium Nihondaira,20299,€-180k,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/shimizu-s-pulse/startseite/verein/1062
1063,viborg-ff,Viborg FF,DK1,,26,23.5,10,38.5,3,Energi Viborg Arena,9566,€-118k,Nickolai Lund,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/viborg-ff/startseite/verein/1063
1066,nagoya-grampus,Nagoya Grampus Eight,JAP1,,30,28.6,3,10.0,2,Toyota Stadium,45000,+-0,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/nagoya-grampus/startseite/verein/1066
10690,zorya-lugansk,Zorya Lugansk,UKR1,,23,26.3,10,43.5,0,Valeriy Lobanovsky Stadion,16873,+-0,Viktor Skrypnyk,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/zorya-lugansk/startseite/verein/10690
1071,wigan-athletic,Wigan Athletic,GB1,,26,24.0,8,30.8,2,DW Stadium,25133,+€290k,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/wigan-athletic/startseite/verein/1071
1075,sc-braga,SC Braga,PO1,,38,24.9,23,60.5,11,Estádio Municipal de Braga,30286,+€18.30m,Carlos Vicens,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/sc-braga/startseite/verein/1075
1082,losc-lille,LOSC Lille,FR1,,30,24.4,19,63.3,8,Decathlon Arena-Stade Pierre-Mauroy,50186,€-15.50m,Bruno Genesio,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/losc-lille/startseite/verein/1082
1083,fk-rostov,FK Rostov,RU1,,29,25.3,8,27.6,6,Rostov Arena,45415,+€3.97m,,2025,../data/raw/transfermarkt-scraper/2025/clubs.json.gz,https://www.transfermarkt.co.uk/fk-rostov/startseite/verein/1083
1084,fc-malaga,Málaga CF,ES1,,27,27.9,8,29.6,0,La Rosaleda,30044,+€950k,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/fc-malaga/startseite/verein/1084
